Ref,Val,Package,PosX,PosY,Rot,Side
"CN1","SMTSO4020MTJ","SMTSO4020MTJ",-21.590000,1.000000,0.000000,top
"CN2","SMTSO4020MTJ","SMTSO4020MTJ",21.590000,1.000000,0.000000,top
"TP1","~","TESTPOINT-SMD_BD2.0-H3.0",-17.150000,-4.200000,0.000000,top
"TP2","~","TESTPOINT-SMD_BD2.0-H3.0",-15.854271,-1.948167,0.000000,top
"TP3","~","TESTPOINT-SMD_BD2.0-H3.0",-11.400000,-4.200000,0.000000,top
"TP4","~","TESTPOINT-SMD_BD2.0-H3.0",-5.700000,-4.200000,0.000000,top
"TP5","~","TESTPOINT-SMD_BD2.0-H3.0",-4.404271,-1.948167,0.000000,top
"TP6","~","TESTPOINT-SMD_BD2.0-H3.0",-3.100000,-4.200000,0.000000,top
"TP7","~","TESTPOINT-SMD_BD2.0-H3.0",0.100000,-4.200000,0.000000,top
