Comment,Designator,Footprint,LCSC Part#
"CAP_0402 4.7uF","C3","0402","C23733"
"CAP_0402 4.7uF","C2","0402","C23733"
"RES_0402 220R","R3","0402","C25091"
"CAP_0402 33pF","C6","0402","C1562"
"RES_0402 1k@100MHz","FB1","0402","C21516"
"XC6206-SOT23-3","U2","SOT-23-3L","C5446"
"LED-RGB-CA-2020 C108793","D1","LED-4_2020","C108793"
"RES_0402 470R","R6","0402","C25117"
"R-US_R0603 180R","R8","0603","C22828"
"R-US_R0603 68R","R5","0603","C27592"
"BAT54S","D2","SOT-23","C408389"
"STM32G030F8P6 C724040","IC2","TSSOP-20","C724040"
"AS312","U1","SENSORM-TH_3P_AS312","C90465"
