"Value","Reference","Package","LCSC Part"
"10uF","C1,C2","0603","C19702"
"4.7uF","C3,C4,C7","0603","C1705"
"1uF","C5,C6","0603","C15849"
"BAT54S,235","D1","TO-236AB","C503463"
"MBR120VLSFT1G","D2","SOD-123FL","C223608"
"10uH","L1","1212","C917434"
"1M","R1,R3","0603","C22935"
"137k","R2","0603","C22872"
"220R","R4","0603","C22962"
"MST22D18G2 125","SW1","SMD","C2906280"
"TLV61220DBVR","U1","SOT-23-6","C111811"
"NCP114ASN330T1G","U2","TSOP-5-1.5mm","C457666"
"TPS2553DBVR","U3","SOT-23-6","C55266"
